ID,OneHotEncoder,LetterComposition
78,[0 0 0 ... 0 0 1],"[0.05490196 0.         0.00980392 0.07058824 0.10784314 0.03921569
 0.05294118 0.01960784 0.03921569 0.         0.12352941 0.09607843
 0.02941176 0.04313725 0.         0.01764706 0.01568627 0.05490196
 0.07254902 0.04901961 0.05098039 0.01372549 0.03921569 0.        ]"
79,[0 0 0 ... 0 0 1],"[0.05511811 0.         0.00984252 0.07086614 0.10826772 0.03937008
 0.05314961 0.01771654 0.03740157 0.         0.12598425 0.09645669
 0.02952756 0.04133858 0.         0.01771654 0.01574803 0.05511811
 0.07283465 0.0492126  0.0511811  0.01377953 0.03937008 0.        ]"
80,[0 0 0 ... 0 0 1],"[0.09563994 0.         0.00562588 0.0604782  0.05766526 0.04781997
 0.06469761 0.00703235 0.04360056 0.         0.0464135  0.14627286
 0.00984529 0.03375527 0.         0.05625879 0.04781997 0.06891702
 0.06188467 0.03797468 0.06751055 0.00562588 0.03516174 0.        ]"
81,[0 0 0 ... 0 0 1],"[0.08611599 0.         0.00702988 0.06326889 0.06326889 0.05272408
 0.05799649 0.00702988 0.04393673 0.         0.04217926 0.14938489
 0.01054482 0.03339192 0.         0.05975395 0.04745167 0.06151142
 0.05096661 0.0456942  0.07029877 0.00702988 0.04042179 0.        ]"
82,[0 0 0 ... 0 0 1],"[0.07976654 0.         0.01167315 0.05447471 0.07782101 0.03307393
 0.06809339 0.0311284  0.04669261 0.         0.02918288 0.12256809
 0.0155642  0.01750973 0.         0.06809339 0.04669261 0.06225681
 0.07392996 0.05447471 0.07392996 0.01361868 0.01945525 0.        ]"
83,[0 0 0 ... 0 0 1],"[0.08189655 0.         0.01293103 0.05818966 0.07112069 0.03663793
 0.06034483 0.03232759 0.05172414 0.         0.03017241 0.12284483
 0.01508621 0.01939655 0.         0.06465517 0.04525862 0.05818966
 0.07327586 0.05387931 0.07974138 0.01077586 0.02155172 0.        ]"
84,[0 0 0 ... 0 0 1],"[0.08383234 0.         0.01197605 0.05688623 0.02994012 0.04491018
 0.10479042 0.01497006 0.05688623 0.         0.05688623 0.11976048
 0.02994012 0.03592814 0.         0.03592814 0.02994012 0.03892216
 0.10479042 0.05389222 0.06886228 0.00299401 0.01796407 0.        ]"
85,[0 0 0 ... 0 0 1],"[0.08974359 0.         0.01282051 0.06089744 0.03205128 0.03846154
 0.11217949 0.01602564 0.06089744 0.         0.06089744 0.11538462
 0.02884615 0.03846154 0.         0.02884615 0.03205128 0.02884615
 0.09615385 0.05769231 0.06730769 0.00320513 0.01923077 0.        ]"
86,[0 0 0 ... 0 0 1],"[0.0797546  0.         0.01840491 0.04703476 0.07566462 0.03680982
 0.06339468 0.02862986 0.04907975 0.         0.03271984 0.12474438
 0.01635992 0.01431493 0.         0.06543967 0.04294479 0.06339468
 0.0797546  0.05725971 0.06748466 0.01635992 0.0204499  0.        ]"
87,[0 0 0 ... 0 0 1],"[0.08189655 0.         0.01939655 0.04956897 0.07112069 0.0387931
 0.06034483 0.02586207 0.05172414 0.         0.03448276 0.125
 0.01508621 0.01508621 0.         0.06465517 0.04310345 0.0625
 0.07543103 0.05818966 0.07112069 0.01508621 0.02155172 0.        ]"
